Code,Species,Taxon,Display name,TVK,Common name,Status,Site,Site Status,Hectad,Tetrad,Monad,GR,DC,Y,Date,Recorder,Determiner,Herbarium,Habitat,Abundance,Altitude,Sex/stage,Record type,Substrate,Comment,Reference
0950*020*001*004*00,Abies grandis,Abies grandis,Abies grandis (Douglas ex D.Don) Lindley,NHMSYS0000455520,Giant Fir,None,Acton,N/A,SO38,SO38C,N/A,SO38C,J,1993,1993,"Kingsbury, Dr S.",N/A,N/A,N/A,present,N/A,present,field record,N/A,N/A,Shropshire Botanical Society (1985-2018)
0950*020*001*004*00,Abies grandis,Abies grandis,Abies grandis (Douglas ex D.Don) Lindley,NHMSYS0000455520,Giant Fir,None,Shropshire,N/A,SO38,SO38F,N/A,SO38F,J,1993,1993,"Kingsbury, Dr S.",N/A,N/A,N/A,present,N/A,present,field record,N/A,N/A,Shropshire Botanical Society (1985-2018)
0950*020*001*004*00,Abies grandis,Abies grandis,Abies grandis (Douglas ex D.Don) Lindley,NHMSYS0000455520,Giant Fir,None,Shropshire,N/A,SO38,SO38T,N/A,SO38T,J,1996,1996,"Kingsbury, Dr S.",N/A,N/A,N/A,present,N/A,present,field record,N/A,N/A,Shropshire Botanical Society (1985-2018)
0950*020*001*004*00,Abies grandis,Abies grandis,Abies grandis (Douglas ex D.Don) Lindley,NHMSYS0000455520,Giant Fir,None,Shropshire,N/A,SO29,SO29Z,N/A,SO29Z,J,1996,11 MAY 1996,"Teearu, Ms T.",N/A,N/A,N/A,present,N/A,present,field record,N/A,N/A,Shropshire Botanical Society (1985-2018)
0950*020*001*004*00,Abies grandis,Abies grandis,Abies grandis (Douglas ex D.Don) Lindley,NHMSYS0000455520,Giant Fir,None,Shropshire,N/A,SO27,SO27W,N/A,SO27W,J,1996,05 MAY 1996,"Trueman, Prof I.C., Kingsbury, Dr S.",N/A,N/A,N/A,present,N/A,present,field record,N/A,N/A,Shropshire Botanical Society (1985-2018)
0950*020*001*004*00,Abies grandis,Abies grandis,Abies grandis (Douglas ex D.Don) Lindley,NHMSYS0000455520,Giant Fir,None,Shropshire,N/A,SO38,SO38U,N/A,SO38U,J,1998,1998,"Kingsbury, Dr S.",N/A,N/A,N/A,present,N/A,present,field record,N/A,N/A,Shropshire Botanical Society (1985-2018)
0950*020*001*004*00,Abies grandis,Abies grandis,Abies grandis (Douglas ex D.Don) Lindley,NHMSYS0000455520,Giant Fir,None,Shropshire,N/A,SO38,SO38F,N/A,SO38F,J,1999,1999,"Kingsbury, Dr S.",N/A,N/A,N/A,present,N/A,present,field record,N/A,N/A,Shropshire Botanical Society (1985-2018)
0970*072*003*003*00,Acer campestre,Acer campestre,Acer campestre L.,NHMSYS0001749341,Field Maple,None,Shropshire,N/A,SJ50,,N/A,SJ50,L,1800,1800,"Williams, Rev E.",N/A,N/A,N/A,present,N/A,present,field record,N/A,"Hedges, common.","Williams, E. (1800)"
0970*072*003*003*00,Acer campestre,Acer campestre,Acer campestre L.,NHMSYS0001749341,Field Maple,None,Shropshire,N/A,SJ41,,N/A,SJ41,C,1841,1841,"Leighton, Rev W.A.",N/A,N/A,N/A,present,N/A,present,field record,N/A,Hedges and thickets; not uncommon.,"Leighton, W.A. (1841)"
0970*072*003*003*00,Acer campestre,Acer campestre,Acer campestre L.,NHMSYS0001749341,Field Maple,None,Shropshire,N/A,SJ50,,N/A,SJ50,K,1882,1882,"Beckwith, Mr W.E.",N/A,N/A,N/A,present,N/A,present,field record,N/A,Very common as a bush in woods and hedges.,"Beckwith, W.E. (1882)"
