"NBN Atlas record ID","Occurrence ID","Licence","Rightsholder","Scientific name","Common name","Species ID (TVK)","Taxon Rank","Occurrence status","Start date","Start date day","Start date month","Start date year","End date","End day","End month","End year","Locality","OSGR","Latitude (WGS84)","Longitude (WGS84)","Coordinate uncertainty (m)","Verbatim depth","Recorder","Determiner","Individual count","Abundance","Abundance scale","Organism scope","Organism remarks","Sex","Life stage","Occurrence remarks","Identification verification status","Basis of record","Survey key","Dataset name","Dataset ID","Data provider","Data provider ID","Institution code","Kingdom","Phylum","Class","Order","Family","Genus","OSGR 100km","OSGR 10km","OSGR 2km","OSGR 1km","Country","State/Province"
"ffffd345-b275-42ef-a683-aadf47cc8143","601493","CC-BY","Shropshire Ecological Data Network","Festuca rubra","Red Fescue","NHMSYS0000458790","species","present","2010-08-01","01","08","2010","","","","","Lower House, Llanymynech","SJ2720","52.7772","-3.07621","1000.0","","Lockton, Mr A.J.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Festuca","SJ","SJ22","SJ22Q","SJ2720","United Kingdom","England"
"fffe3346-61af-4951-9fc2-27e0f1ce9315","364130820","CC-BY","","Epilobium montanum","Broad-Leaved Willowherb","NBNSYS0000003546","species","present","2004-08-15","15","08","2004","2004-08-15","15","08","2004","","SO66E","52.31771","-2.57356","2000.0","","","","","","","","","","","","Accepted","HumanObservation","1","Flora of Worcestershire","dr1323","Botanical Society of Britain & Ireland","dp91","Worcestershire Flora Project","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Epilobium","SO","SO66","SO66E","","United Kingdom","England"
"fffd7c8a-cb83-4b02-a02e-cbc6f20cdeda","804475","CC-BY","Shropshire Ecological Data Network","Corylus avellana","Hazelnut","NBNSYS0000003839","species","present","1996-08-07","07","08","1996","","","","","Bitterley Court","SO570771","52.39068","-2.63255","100.0","","Whild, Dr S.J., Lockton, Mr A.J.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Corylus","SO","SO57","SO57T","SO5777","United Kingdom","England"
"fffd5714-b8f1-43a6-ab0c-aebd42ed0357","143320","CC-BY","Shropshire Ecological Data Network","Agrostis stolonifera","Creeping Bent","NBNSYS0000002640","species","present","2009-08-17","17","08","2009","","","","","Cleestanton","SO5779","52.41184","-2.62624","1000.0","","Green, Mr I.P.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Agrostis","SO","SO57","SO57U","SO5779","United Kingdom","England"
"fffc56ba-6510-45a9-b5c2-9fe1d157c442","842654","CC-BY","Shropshire Ecological Data Network","Viburnum opulus","Guelder-Rose","NBNSYS0000004328","species","present","2012-08-30","30","08","2012","","","","","Cambrian Heritage Railway, Porth-y-waen","SJ2623","52.80402","-3.09171","1000.0","","Thorne, Dr A.K., Andrew, Mr A.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Adoxaceae","Viburnum","SJ","SJ22","SJ22R","SJ2623","United Kingdom","England"
"fffbc829-6b4e-415a-bc76-6f98732867d0","199541","CC-BY","Shropshire Ecological Data Network","Atriplex patula","Common Orache","NBNSYS0000003111","species","present","2008-08-11","11","08","2008","","","","","Spurtree","SO603694","52.32171","-2.58315","100.0","","Duffell, Mr M.S.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Atriplex","SO","SO66","SO66E","SO6069","United Kingdom","England"
"fff8e34a-5b5d-42b9-a400-0126ddd3ffbb","363971292","CC-BY","","Danthonia decumbens","Heath-Grass","NBNSYS0000002500","species","present","1992-08-06","06","08","1992","1992-08-06","06","08","1992","","SO77C","52.37227","-2.42738","2000.0","","","","","","","","","","","","Accepted","HumanObservation","1","Flora of Worcestershire","dr1323","Botanical Society of Britain & Ireland","dp91","Worcestershire Flora Project","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Danthonia","SO","SO77","SO77C","","United Kingdom","England"
"fff7906a-da89-4aa9-8b98-657d10a5aee2","262297","CC-BY","Shropshire Ecological Data Network","Chamerion angustifolium","Rosebay Willowherb","NBNSYS0000003598","species","present","1979-08-01","01","08","1979","","","","","Oswestry Railway Station","SJ294298","52.86149","-3.04933","100.0","","Pugh, Miss E.D.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Chamerion","SJ","SJ22","SJ22Z","SJ2929","United Kingdom","England"
"fff6e136-f79b-46d2-9de4-72407b891f17","689113","CC-BY","Shropshire Ecological Data Network","Hypericum tetrapterum","Square St. John's Wort","NHMSYS0000459860","species","present","1974-08-11","11","08","1974","","","","","Easthope Pools","SO5694","52.5466","-2.6429","1000.0","","Perring, Dr F.H.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Hypericaceae","Hypericum","SO","SO59","SO59S","SO5694","United Kingdom","England"
"fff4a683-c162-4bb1-8e3b-0605b97366e4","884076","CC-BY","Shropshire Ecological Data Network","Scorzoneroides autumnalis","Autumnal Hawkbit","NHMSYS0021126374","species","present","2015-08-19","19","08","2015","","","","","Graig Farm","SO252752","52.37018","-3.09934","100.0","","Clayfield, Mr J.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Scorzoneroides","SO","SO27","SO27M","SO2575","United Kingdom","England"
